Start Time,Stop Time,Duration,Distance (nm),Max Speed,Avg Speed,Run/Idle
1/1/2024 0:00,12:26 am,0:25:58,6,17.8,13.3,run
1/1/2024 0:26,2:01 am,1:34:26,,,,idle
1/1/2024 2:01,2:03 am,0:02:47,0.2,5.9,3.6,run
1/1/2024 2:03,2:09 am,0:06:00,,,,idle
1/1/2024 2:09,3:43 am,1:34:00,14,18.9,8.8,run
1/1/2024 3:43,3:47 am,0:04:00,,,,idle
1/1/2024 3:47,3:52 am,0:05:00,0.2,2.7,1.9,run
1/1/2024 3:52,5:47 am,1:55:00,,,,idle
1/1/2024 5:47,5:48 am,0:01:00,0,0,0.3,run
1/1/2024 5:48,6:31 am,0:43:00,,,,idle
1/1/2024 6:31,6:51 am,0:19:40,5,18.4,13.8,run
1/1/2024 6:51,6:54 am,0:03:00,,,,idle
1/1/2024 6:54,7:18 am,0:23:44,5,18.4,12.4,run
1/1/2024 7:18,7:21 am,0:03:00,,,,idle
1/1/2024 7:21,7:22 am,0:01:00,0,0,0.3,run
1/1/2024 7:22,7:27 am,0:05:00,,,,idle
1/1/2024 7:27,7:52 am,0:24:49,2,17.8,4.4,run
1/1/2024 7:52,7:58 am,0:06:35,,,,idle
1/1/2024 7:58,7:59 am,0:01:00,0,0,0.1,run
1/1/2024 7:59,8:05 am,0:06:00,,,,idle
1/1/2024 8:05,8:18 am,0:12:31,1,17.8,6.8,run
1/1/2024 8:18,8:35 am,0:17:30,,,,idle
1/1/2024 8:35,8:36 am,0:01:00,0,0,0.2,run
1/1/2024 8:36,8:56 am,0:20:00,,,,idle
1/1/2024 8:56,8:57 am,0:01:00,0,0,0.2,run
1/1/2024 8:57,9:14 am,0:17:00,,,,idle
1/1/2024 9:14,9:21 am,0:06:18,0.2,7,1.8,run
1/1/2024 9:21,9:39 am,0:18:00,,,,idle
1/1/2024 9:39,10:34 am,0:55:37,7,18.4,7.6,run
1/1/2024 10:34,10:39 am,0:05:00,,,,idle
1/1/2024 10:39,10:40 am,0:01:00,0,0,0.3,run
1/1/2024 10:40,10:49 am,0:09:00,,,,idle
1/1/2024 10:49,10:50 am,0:01:00,0,0,0.3,run
1/1/2024 10:50,10:57 am,0:07:07,,,,idle
1/1/2024 10:57,12:07 pm,1:10:01,6,18.4,5.3,run
1/1/2024 12:07,12:10 pm,0:03:00,,,,idle
1/1/2024 12:10,12:45 pm,0:34:59,6,17.8,9.8,run
1/1/2024 12:45,12:52 pm,0:07:00,,,,idle
1/1/2024 12:52,1:01 pm,0:08:11,0.2,5.9,1.3,run
1/1/2024 13:01,1:34 pm,0:33:05,,,,idle
1/1/2024 13:34,2:41 pm,1:07:06,11,18.9,10,run
1/1/2024 14:41,2:47 pm,0:06:00,,,,idle
1/1/2024 14:47,3:44 pm,0:57:33,12,18.4,12.2,run
1/1/2024 15:44,3:47 pm,0:03:00,,,,idle
1/1/2024 15:47,4:20 pm,0:32:48,8,18.9,15.2,run
1/1/2024 16:20,4:27 pm,0:07:00,,,,idle
1/1/2024 16:27,4:29 pm,0:02:00,0,0,0.3,run
1/1/2024 16:29,4:33 pm,0:04:00,,,,idle
1/1/2024 16:33,6:29 pm,1:55:34,15,19.4,7.8,run
1/1/2024 18:29,7:02 pm,0:33:08,,,,idle
1/1/2024 19:02,8:51 pm,1:49:12,26,18.4,14,run
1/1/2024 20:51,8:57 pm,0:06:00,,,,idle
1/1/2024 20:57,9:00 pm,0:03:23,0.1,7.6,2.5,run
1/1/2024 21:00,9:18 pm,0:18:00,,,,idle
1/1/2024 21:18,9:19 pm,0:01:00,0,0,0.3,run
1/1/2024 21:19,9:43 pm,0:23:28,,,,idle
1/1/2024 21:43,10:40 pm,0:57:30,0,0,0,run
1/1/2024 22:40,10:42 pm,0:02:00,,,,idle
1/1/2024 22:42,10:46 pm,0:03:31,0.2,6.5,2.8,run
1/1/2024 22:46,10:51 pm,0:05:00,,,,idle
1/1/2024 22:51,11:37 pm,0:45:41,6,18.4,7.7,run
1/1/2024 23:37,11:43 pm,0:06:00,,,,idle
1/1/2024 23:43,11:59 pm,0:16:44,2,19.4,8.4,run
2/1/2024 0:00,12:20 am,0:20:00,4,21.1,10.6,run
2/1/2024 0:20,1:31 am,1:11:22,,,,idle
2/1/2024 1:31,1:35 am,0:04:00,0.1,4.3,1.4,run
2/1/2024 1:35,1:58 am,0:23:00,,,,idle
2/1/2024 1:58,2:48 am,0:49:37,9,18.4,11.3,run
2/1/2024 2:48,3:48 am,0:59:51,,,,idle
2/1/2024 3:48,4:48 am,1:00:00,0,0,0,run
2/1/2024 4:48,6:43 am,1:55:20,,,,idle
2/1/2024 6:43,6:52 am,0:09:00,0.1,1.1,0.3,run
2/1/2024 6:52,6:56 am,0:04:00,,,,idle
2/1/2024 6:56,6:57 am,0:01:00,0,0,0.3,run
2/1/2024 6:57,7:04 am,0:07:00,,,,idle
2/1/2024 7:04,7:58 am,0:53:17,9,18.9,9.6,run
2/1/2024 7:58,8:01 am,0:03:00,,,,idle
2/1/2024 8:01,8:23 am,0:22:54,2,17.3,4.2,run
2/1/2024 8:23,8:50 am,0:27:00,,,,idle
2/1/2024 8:50,8:58 am,0:07:47,0.4,6.5,3.2,run
2/1/2024 8:58,9:36 am,0:38:00,,,,idle
2/1/2024 9:36,9:42 am,0:06:07,0.2,5.9,1.7,run
2/1/2024 9:42,9:53 am,0:11:00,,,,idle
2/1/2024 9:53,10:46 am,0:52:27,6,18.4,6.9,run
2/1/2024 10:46,11:01 am,0:15:00,,,,idle
